[global_linear N=4 s=2] it=100 loss=2.9992e-01 best=2.9992e-01
[global_linear N=4 s=2] it=200 loss=2.9806e-01 best=2.9806e-01
[global_linear N=4 s=2] it=300 loss=2.9788e-01 best=2.9788e-01
[global_linear N=4 s=2] it=400 loss=2.9786e-01 best=2.9786e-01
[global_linear N=4 s=2] it=500 loss=2.9786e-01 best=2.9786e-01
[global_linear N=4 s=2] it=600 loss=2.9785e-01 best=2.9785e-01
[global_linear N=4 s=2] it=700 loss=2.9785e-01 best=2.9785e-01
[global_linear N=4 s=2] it=800 loss=2.9785e-01 best=2.9785e-01
[global_linear N=4 s=2] it=900 loss=2.9785e-01 best=2.9785e-01
[global_linear N=4 s=2] it=1000 loss=2.9786e-01 best=2.9785e-01
Early stop at 1041
Saved results/vqi_global_linear_N4_s2.npz; median SWPE=-0.19 dB, QFI=4.093
